Date,Open,High,Low,Close,Adj Close,Volume,Average Return
11/1/16,2128.679932,2131.449951,2097.850098,2111.719971,2111.719971,4532160000,0.007967361
11/2/16,2109.429932,2111.76001,2094,2097.939941,2097.939941,4248580000,0.005446965
11/3/16,2098.800049,2102.560059,2085.22998,2088.659912,2088.659912,3886740000,0.004831397
11/4/16,2083.790039,2099.070068,2083.790039,2085.179932,2085.179932,3837860000,-0.000667002
11/7/16,2100.590088,2132,2100.590088,2131.52002,2131.52002,3736060000,-0.014724402
11/8/16,2129.919922,2146.870117,2123.560059,2139.560059,2139.560059,3916930000,-0.004526056
11/9/16,2131.560059,2170.100098,2125.350098,2163.26001,2163.26001,6264150000,-0.014871714
11/10/16,2167.48999,2182.300049,2151.169922,2167.47998,2167.47998,6451640000,4.62E-06
11/11/16,2162.709961,2165.919922,2152.48999,2164.449951,2164.449951,4988050000,-0.000804542
11/14/16,2165.639893,2171.360107,2156.080078,2164.199951,2164.199951,5367200000,0.000664904
11/15/16,2168.290039,2180.840088,2166.379883,2180.389893,2180.389893,4543860000,-0.005580367
11/16/16,2177.530029,2179.219971,2172.199951,2176.939941,2176.939941,3830590000,0.00027099
11/17/16,2178.610107,2188.060059,2176.649902,2187.120117,2187.120117,3809160000,-0.003906165
11/18/16,2186.850098,2189.889893,2180.379883,2181.899902,2181.899902,3572400000,0.002263619
11/21/16,2186.429932,2198.699951,2186.429932,2198.179932,2198.179932,3607010000,-0.005374057
11/22/16,2201.560059,2204.800049,2194.51001,2202.939941,2202.939941,3957940000,-0.000626775
11/23/16,2198.550049,2204.719971,2194.51001,2204.719971,2204.719971,3418640000,-0.00280636
11/25/16,2206.27002,2213.350098,2206.27002,2213.350098,2213.350098,1584600000,-0.003209071
11/28/16,2210.209961,2211.139893,2200.360107,2201.719971,2201.719971,3505650000,0.003841259
11/29/16,2200.76001,2210.459961,2198.149902,2204.659912,2204.659912,3706560000,-0.001772071
11/30/16,2204.969971,2214.100098,2198.810059,2198.810059,2198.810059,5533980000,0.002793649
12/1/16,2200.169922,2202.600098,2187.439941,2191.080078,2191.080078,5063740000,0.004131428
12/2/16,2191.120117,2197.949951,2188.370117,2191.949951,2191.949951,3779500000,-0.000378726
12/5/16,2200.649902,2209.419922,2199.969971,2204.709961,2204.709961,3895230000,-0.001844936
12/6/16,2207.26001,2212.780029,2202.209961,2212.22998,2212.22998,3855320000,-0.002251647
12/7/16,2210.719971,2241.629883,2208.929932,2241.350098,2241.350098,4501820000,-0.013855272
12/8/16,2241.129883,2251.689941,2237.570068,2246.189941,2246.189941,4200580000,-0.002257816
12/9/16,2249.72998,2259.800049,2249.22998,2259.530029,2259.530029,3884480000,-0.0043561
