RFQ,Ord DT,Customer,X,Y,Sq.in,#Hls,LY,Line,Aring,Min Aring,Thick,Thick Mil,Mhole,Smallest_Hole_Calc,AR,AR Cal,Cu wt,CuW,CI,CI Final,EI#,Rel,Rel Dt,Shp Dt,Due Dt,Pnl X,Pnl Y,Qty Pnl,# Pnls,LY,Matl,UP,Pcs_Array,RMA_NO,CAType,RMA_Amt
149706,12/4/19,"ELECTRO-PRO,INC.",2.248,3.7677,8.4697896,84,2,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,2.239458455,0.022394585,83015,-1,1/9/20,1/14/20,1/14/20,12,18,0,1,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149422,11/18/19,"COMPUTROL, INC",0.6,1.47,0.882,38,2,8,0,6,0.062,62,11,11,5.636363636,5.636363636,1/1,1,4.401043572,0.044010436,83013,-1,1/9/20,1/20/20,1/20/20,18,24,3,5,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
150020,12/20/19,FUSION-EMS,5.0183,14.6315,73.42525645,4032,4,8,0,6,0.062,62,13,13,4.769230769,4.769230769,1/1,1,4761.487208,47.61487208,83009,-1,1/8/20,1/15/20,1/15/20,18,24,2,3,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
147025,7/12/19,DELTA GROUP ELECTRONICS - CA,1.9685,2.8737,5.65687845,194,6,6,3.8,3.8,0.062,62,10,10,6.3,6.3,1/1,1,1000.472066,10.00472066,83006,-1,1/8/20,1/24/20,1/24/20,18,24,9,11,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
148803,10/16/19,DELTA GROUP ELECTRONICS - CA,0.9153,1.7519,1.60351407,26,2,8,0,6,0.062,62,10,10,6.2,6.2,2/2,2,1.133263708,0.011332637,83005,-1,1/8/20,1/24/20,1/27/20,16,18,5,7,2,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149331,11/13/19,ABSOLUTE ELECTRONICS SERVICES,3.268,3.268,10.679824,4,1,8,0,6,0.062,62,165,165,0.375757576,0.375757576,2/0,2,0.000503411,5.03E-06,83002,-1,1/8/20,1/16/20,1/16/20,18,24,2,2,1,MCPCB               ,00:00.0,NULL,NULL,NULL,NULL
149973,12/19/19,BITRON ELECTRONICS DIVISON,6.6535,3.6535,24.30856225,437,2,8,0,6,0.062,62,11.81,1181,5.249788315,5.249788315,2/2,2,21.11838296,0.21118383,83000,-1,1/8/20,1/14/20,1/14/20,18,24,9,10,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149973,12/19/19,BITRON ELECTRONICS DIVISON,6.6535,3.6535,24.30856225,437,2,8,0,6,0.062,62,11.81,1181,5.249788315,5.249788315,2/2,2,21.11838296,0.21118383,83000,-01T,1/8/20,1/14/20,1/14/20,18,24,1,1,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149396,11/15/19,"COMPUTROL, INC",0.5,0.6,0.3,21,2,8,0,6,0.062,62,12,12,5.166666667,5.166666667,2/2,2,3.951612903,0.039516129,82999,-1,1/8/20,1/14/20,1/15/20,9,12,1,2,2,FR-TG170            ,00:00.0,NULL,               ,Complain            ,213
149424,11/18/19,"COMPUTROL, INC",1,1.25,1.25,70,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,10.53763441,0.105376344,82998,-1,1/8/20,1/27/20,1/27/20,18,24,1,3,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149842,12/11/19,EMBER INDUSTRIES,4.5,3.75,16.875,81,2,8,0,6,0.062,62,21,21,2.952380952,2.952380952,1/1,1,1.04516129,0.010451613,82997,-1,1/8/20,1/14/20,1/14/20,18,24,4,5,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
150040,12/27/19,Keytronic EMS,3.4075,2,6.815,908,6,5,0,6,0.062,62,6,6,10.33333333,10.33333333,1/1,1,14049.03983,140.4903983,82996,-1,1/8/20,1/13/20,1/10/20,16,18,3,5,6,370HR               ,00:00.0,NULL,NULL,NULL,NULL
150053,12/30/19,"ULTRAX AEROSPACE, INC",1.29,2.125,2.74125,96,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,72.30042805,0.72300428,82987,-1,1/3/20,1/9/20,1/9/20,16,18,2,3,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150052,12/30/19,"ULTRAX AEROSPACE, INC",1.29,2.125,2.74125,106,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,88.14752708,0.881475271,82986,-1,1/3/20,1/9/20,1/9/20,16,18,2,3,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150051,12/30/19,"ULTRAX AEROSPACE, INC",1.29,2.125,2.74125,135,4,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,142.9769207,1.429769207,82985,-1,1/3/20,1/9/20,1/9/20,18,24,2,3,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149700,12/4/19,NANORACKS LLC,5.9,11.5,67.85,102,2,50,13,13,0.062,62,28,28,2.2,2.2,3/3,3,0.030637012,0.00030637,82984,-1,1/3/20,1/10/20,1/10/20,18,24,1,3,2,POLYMIDE            ,00:00.0,NULL,NULL,NULL,NULL
150050,12/30/19,"ULTRAX AEROSPACE, INC",1.29,2.125,2.74125,117,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,107.3915538,1.073915538,82983,-1,1/3/20,1/9/20,1/9/20,18,24,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150054,12/30/19,RF IDEAS,5.0887,7.22,36.740414,8,1,8,0,6,0.093,93,10,10,9.3,9.3,1/0,1,0.000390222,3.90E-06,82981,-1,1/3/20,1/6/20,1/6/20,12,18,2,3,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
150015,12/20/19,AUTOMEC,2.402,14.7492,35.4275784,799,4,6,0,6,0.062,62,13.77,1377,4.502541757,4.502541757,1/1,1,516.6993016,5.166993016,82980,-1,1/3/20,1/9/20,1/9/20,16,18,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150055,12/30/19,ARTISAN CONTROLS CORP,1.9,1.9,3.61,99,1,8,0,6,0.062,62,10,10,6.2,6.2,2/0,2,0.912284425,0.009122844,82979,-1,1/3/20,1/13/20,1/13/20,18,24,20,24,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
150055,12/30/19,ARTISAN CONTROLS CORP,1.9,1.9,3.61,99,1,8,0,6,0.062,62,10,10,6.2,6.2,2/0,2,0.912284425,0.009122844,82979,-2,1/3/20,NULL,6/9/20,18,24,23,23,1,FR-4                ,60,NULL,NULL,NULL,NULL
150005,12/20/19,"ACCU-SEMBLY, INC",3.8,3.8,14.44,304,2,8,0,6,0.062,62,31,31,2,2,2/2,2,17.20430108,0.172043011,82978,-1,1/2/20,1/13/20,1/17/20,18,24,6,8,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149890,12/13/19,AVCOM SMT INC.,4.4,6.42,28.248,550,6,8,0,6,0.07,7,15,15,0.466666667,0.466666667,1/1,1,6884.178905,68.84178905,82977,-1,1/2/20,1/9/20,1/9/20,18,24,1,2,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149524,11/21/19,LARITECH INC,0.45,1.98,0.891,34,2,8,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,3.487684491,0.034876845,82976,-1,1/2/20,1/14/20,1/15/20,16,18,1,3,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
150039,12/27/19,STELLAR INDUSTRIES,4.35,4.35,18.9225,95,2,8,0,6,0.062,62,10,10,6.2,6.2,2/2,2,1.282111385,0.012821114,82975,-1,1/2/20,1/9/20,1/8/20,18,24,3,8,4,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
148941,10/23/19,FUSION-EMS,1.5,2.75,4.125,50,2,10,0,6,0.062,62,40,40,1.55,1.55,1/1,1,1.303356142,0.013033561,82974,-1,1/2/20,1/14/20,1/20/20,12,18,0,1,2,370 HR              ,00:00.0,NULL,NULL,NULL,NULL
149933,12/17/19,TESTEK INC,3.5,4.5,15.75,60,2,8,0,6,0.062,62,24,24,2.583333333,2.583333333,1/1,1,0.614439324,0.006144393,82972,-1,1/2/20,1/10/20,1/13/20,12,18,1,2,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
144636,3/12/19,FLAGSHIP MARINE SECURITY,5.629,4.32,24.31728,376,2,8,0,6,0.062,62,31,31,1.9375,1.9375,1/1,1,16.13266215,0.161326622,82971,-1,1/2/20,1/13/20,1/16/20,16,21,11,13,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148478,10/1/19,"EDC, INC",0.8,5.55,4.44,232,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,32.58742614,0.325874261,82969,-1,12/26/19,1/13/20,1/14/20,18,24,5,7,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
150019,12/20/19,WESTERN RESERVE CONTROLS,1.394,3.125,4.35625,108,4,6,6,6,0.062,62,10,10,6.2,6.2,1/1,1,76.77511917,0.767751192,82968,-1,1/1/20,1/7/20,1/7/20,16,18,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150028,12/23/19,"INFRASCAN, INC",2.73,8.125,22.18125,883,4,8,0,6,0.062,62,10,10,6.2,6.2,2/2,2,755.9314906,7.559314906,82964,-1,12/24/19,1/8/20,1/8/20,16,18,0,1,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
150025,12/23/19,HAMILTON THORNE BIOSCIENCES,0.83,2.53,2.0999,18,2,8,0,6,0.062,62,63,63,0.984126984,0.984126984,1/1,1,0.414766295,0.004147663,82963,-1,12/23/19,1/9/20,1/13/20,12,18,2,3,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149871,12/12/19,FLEXTRON CIRCUIT ASSEMBLY,5.8184,7.4899,43.57923416,230,2,8,0,6,0.062,62,24,24,2.583333333,2.583333333,2/2,2,3.2631207,0.032631207,82962,-1,12/23/19,1/7/20,1/7/20,18,24,3,4,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149956,12/18/19,TECNOVA ELECTRONICS INC,3.4,11.2,38.08,376,4,8,0,6,0.068,68,8,8,8.5,8.5,3/3,3,72.79617729,0.727961773,82961,-1,12/23/19,1/9/20,1/8/20,18,24,2,3,4,FR-TG175            ,00:00.0,NULL,19-098         ,RMA                 ,650
149656,12/2/19,E02,0.995,0.955,0.950225,33,2,8,0,6,0.031,31,16,16,1.9375,1.9375,1/1,1,6.161528806,0.061615288,82959,-1,12/23/19,1/8/20,1/8/20,12,18,1,2,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149589,11/25/19,"RIVERSIDE ELECTRONICS, LTD",1,2,2,17,2,8,0,6,0.062,62,28,28,2.214285714,2.214285714,1/1,1,0.38844086,0.003884409,82957,-1,12/20/19,1/6/20,1/6/20,18,24,3,5,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149999,12/20/19,PROTO-TEK ENGINEERING,0.47,1.7,0.799,4,2,8,0,6,0.062,62,28,28,2.214285714,2.214285714,2/2,2,0.053830729,0.000538307,82955,-1,12/20/19,1/9/20,1/9/20,18,24,4,8,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149774,12/9/19,LARITECH INC,2.7608,3.5005,9.6641804,56,2,8,0,6,0.093,93,40,40,2.325,2.325,3/3,3,0.581536297,0.005815363,82952,-1,12/20/19,1/8/20,1/9/20,12,18,2,4,2,370HR               ,00:00.0,NULL,NULL,NULL,NULL
147237,7/25/19,WYLE LABS,1.53,1.6396,2.508588,10,2,40,16,16,0.062,62,46,46,1.3,1.3,2/2,2,0.00833258,8.33E-05,82951,-1,12/20/19,1/3/20,1/7/20,12,18,0,1,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149775,12/9/19,LARITECH INC,1.6,2.2507,3.60112,29,2,8,0,6,0.093,93,20,20,4.65,4.65,3/3,3,0.418527697,0.004185277,82950,-1,12/20/19,1/8/20,1/9/20,12,18,1,2,2,370HR               ,00:00.0,NULL,NULL,NULL,NULL
149963,12/19/19,IXYS INTEGRATED CIRCUITS DIVISION/L-FUSE,3.25,6.5,21.125,81,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,0.834892155,0.008348922,82949,-1,12/20/19,1/7/20,1/7/20,12,18,0,1,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149979,12/19/19,ELECTROLUX,2.9528,9.8425,29.062934,173,2,6,0,6,0.062,62,11.81,1181,5.249788315,5.249788315,1/1,1,3.691038263,0.036910383,82948,-1,12/19/19,1/2/20,1/2/20,18,24,2,3,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149971,12/19/19,BLACK & DECKER,1.1811,0.6496,0.76724256,46,4,8,0,6,0.062,62,8,8,7.75,7.75,1/1,1,59.31028689,0.593102869,82947,-1,12/19/19,1/6/20,1/6/20,18,24,2,4,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149971,12/19/19,BLACK & DECKER,1.1811,0.6496,0.76724256,46,4,8,0,6,0.062,62,8,8,7.75,7.75,1/1,1,59.31028689,0.593102869,82947,-01STCL,12/19/19,1/6/20,1/6/20,0,0,1,1,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149972,12/19/19,ELECTROLUX,3.0512,6.1417,18.73955504,148,1,8,0,6,0.062,62,35.43,3543,1.749929438,1.749929438,2/0,2,0.392763598,0.003927636,82946,-1,12/19/19,12/20/19,12/20/19,12,18,0,2,1,CEM-1               ,00:00.0,NULL,NULL,NULL,NULL
149965,12/19/19,BONITRON INC,8,10,80,530,4,8,0,6,0.062,62,12,12,6.2,6.2,1/1,1,62.92562724,0.629256272,82945,-1,12/19/19,1/6/20,1/6/20,18,24,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149965,12/19/19,BONITRON INC,8,10,80,530,4,8,0,6,0.062,62,12,12,6.2,6.2,1/1,1,62.92562724,0.629256272,82945,-01STCL,12/19/19,1/6/20,1/6/20,1,1,1,1,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149966,12/19/19,BONITRON INC,6.5,4.5,29.25,116,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,1.236651043,0.01236651,82944,-1,12/19/19,1/6/20,1/6/20,18,24,2,4,2,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149966,12/19/19,BONITRON INC,6.5,4.5,29.25,116,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,1.236651043,0.01236651,82944,-01STCL,12/19/19,1/9/20,1/9/20,0,0,1,1,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149803,12/10/19,LARITECH INC,1.8999,1.8999,3.60962001,44,2,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,1.44178641,0.014417864,82942,-1,12/18/19,1/7/20,1/7/20,12,18,0,2,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149844,12/11/19,LARITECH INC,1.16,1.16,1.3456,30,2,8,0,6,0.031,31,15,15,2.066666667,2.066666667,1/1,1,3.595949522,0.035959495,82941,-1,12/18/19,1/6/20,1/6/20,12,18,1,3,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149761,12/6/19,MICRON CORP,4.775,5.45,26.02375,147,2,8,0,6,0.062,62,13,13,4.769230769,4.769230769,1/1,1,2.232142165,0.022321422,82938,-1,12/18/19,12/20/19,12/20/19,16,18,3,4,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149918,12/16/19,"PROTRONICS, INC",3.958,6.8,26.9144,449,6,5,0,6,0.063,63,10,10,6.3,6.3,1/1,1,856.0515667,8.560515667,82937,-1,12/18/19,1/7/20,1/7/20,16,18,0,1,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149435,11/18/19,"RIVERSIDE ELECTRONICS, LTD",0.875,4.25,3.71875,8,1,8,0,6,0.093,93,10,10,9.3,9.3,1/0,1,0.003855306,3.86E-05,82935,-1,12/17/19,1/2/20,1/2/20,18,24,1,2,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149762,12/6/19,EMBER INDUSTRIES,1.4,1,1.4,75,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,86.40552995,0.8640553,82933,-1,12/17/19,1/3/20,1/3/20,16,18,0,1,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149921,12/17/19,XP POWER LLC,2,3,6,1,1,8,0,6,0.062,62,10,10,6.2,6.2,2/0,2,5.60E-05,5.60E-07,82932,-1,12/17/19,1/17/20,1/20/20,18,24,10,12,1,MCPCB               ,00:00.0,NULL,NULL,NULL,NULL
149858,12/11/19,"RIVERSIDE ELECTRONICS, LTD",1,2,2,115,2,6,0,6,0.062,62,13,13,4.769230769,4.769230769,1/1,1,23.70071685,0.237007168,82931,-1,12/16/19,12/20/19,12/19/19,18,24,0,1,2,370HR               ,00:00.0,NULL,NULL,NULL,NULL
149907,12/16/19,MICHELASSI CONSULTANTS,5.88,7.75,45.57,640,2,8,0,6,0.062,62,20,20,3.1,3.1,2/2,2,24.16228371,0.241622837,82930,-1,12/16/19,12/20/19,12/20/19,18,24,5,7,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149904,12/16/19,MICRON CORP,4.6,8,36.8,458,2,8,0,6,0.062,62,28,28,2.214285714,2.214285714,1/1,1,15.32287284,0.153228728,82929,-1,12/16/19,12/19/19,12/20/19,12,18,1,3,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
145414,4/16/19,EMBER INDUSTRIES,3.4,1.6,5.44,34,2,8,0,6,0.062,62,37,37,1.675675676,1.675675676,1/1,1,0.571236559,0.005712366,82927,-1,12/13/19,12/18/19,12/18/19,18,24,1,2,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
145408,4/16/19,EMBER INDUSTRIES,1.4,1.3,1.82,27,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,1.076745835,0.010767458,82926,-1,12/13/19,12/18/19,12/18/19,18,24,0,1,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
145410,4/16/19,EMBER INDUSTRIES,5.75,6.75,38.8125,325,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,7.315637283,0.073156373,82925,-1,12/13/19,12/18/19,12/18/19,16,18,13,16,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149841,12/11/19,THE LIGHT SOURCE,1.375,5,6.875,155,4,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,75.15151515,0.751515152,82924,-1,12/13/19,12/20/19,12/23/19,18,24,6,8,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149838,12/11/19,THE LIGHT SOURCE,1.375,5.125,7.046875,99,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,3.738788356,0.037387884,82923,-1,12/13/19,12/20/19,12/23/19,18,24,12,15,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149837,12/11/19,THE LIGHT SOURCE,1.375,5,6.875,85,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,2.825024438,0.028250244,82922,-1,12/13/19,12/20/19,12/23/19,18,24,12,15,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149862,12/12/19,"CALEX MFG. CO., INC.",7.495,6.28,47.0686,829,6,8,0,6,0.125,125,20,20,6.25,6.25,2/2,2,525.6301653,5.256301653,82921,-1,12/13/19,12/20/19,12/24/19,16,18,1,2,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149812,12/10/19,SIMON-KALOI ENGINEERING,6.6,7,46.2,2806,8,10,0,6,0.081,81,10,10,6.2,6.2,1/1,1,23456.34707,234.5634707,82920,-1,12/12/19,12/20/19,12/20/19,18,24,0,2,8,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149881,12/12/19,BLUE WAVE ULTRASONICS,5.67,10.5,59.535,119,2,8,0,6,0.062,62,40,40,1.55,1.55,2/2,2,0.639408823,0.006394088,82919,-1,12/12/19,12/18/19,12/18/19,18,24,25,28,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149498,11/21/19,ENVIRONMENTAL TECHNOLOGY,1.675,1.675,2.805625,54,4,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,22.35141098,0.22351411,82918,-1,12/12/19,12/16/19,12/16/19,16,18,0,1,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149826,12/11/19,HUNTER ENGINEERING CO,2.84,0.86,2.4424,83,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,60.65777008,0.606577701,82914,-1,12/12/19,12/18/19,12/18/19,18,24,7,10,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149854,12/11/19,RODIX INC.,4.25,8.65,36.7625,261,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,2/2,2,39.84951355,0.398495136,82913,-1,12/12/19,12/16/19,12/16/19,18,24,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
148894,10/22/19,"COMPUTROL, INC",1.7,1.35,2.295,28,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,0.918312367,0.009183124,82912,-1,12/11/19,1/3/20,1/7/20,12,18,1,2,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149697,12/4/19,DAWN VME PRODUCTS,9.187,6.299,57.868913,137,2,8,0,6,0.062,62,28,28,2.214285714,2.214285714,2/2,2,0.871872279,0.008718723,82911,-1,12/11/19,1/14/20,1/21/20,18,24,25,28,2,370 HR              ,00:00.0,NULL,NULL,NULL,NULL
149829,12/11/19,ZINNOVI,2.1063,4.252,8.9559876,453,4,5,0,6,0.062,62,7.9,79,7.848101266,7.848101266,1/1,1,788.4060535,7.884060535,82910,-1,12/11/19,12/16/19,12/17/19,16,18,0,1,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
148615,10/7/19,"EDC, INC",10.65,10.65,113.4225,2057,5,8,0,6,0.062,62,28,28,2.214285714,2.214285714,1/1,1,1566.918665,15.66918665,82909,-1,12/11/19,12/18/19,12/18/19,18,24,1,2,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149169,11/6/19,"EDC, INC",10.65,10.65,113.4225,2079,5,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,1600.614877,16.00614877,82908,-1,12/11/19,12/19/19,12/23/19,18,24,5,6,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149817,12/10/19,ITERNA CORP,2.24,2.494,5.58656,221,4,8,0,6,0.062,62,20,20,3.1,3.1,2/2,2,188.0126744,1.880126744,82907,-1,12/11/19,12/16/19,12/17/19,16,18,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149808,12/10/19,UNIVERSITY OF OKLAHOMA,2.34,3.25,7.605,491,4,8,0,6,0.062,62,15,15,5.166666667,5.166666667,1/1,1,545.3819997,5.453819997,82906,-1,12/10/19,12/17/19,12/17/19,16,18,0,1,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149783,12/9/19,ITERNA CORP,2.5,3.6024,9.006,241,4,8,0,6,0.062,62,11.81,1181,6.2,6.2,2/2,2,117.4354705,1.174354705,82904,-1,12/10/19,12/16/19,12/16/19,16,18,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149790,12/9/19,WELLEX,8.7795,2.7559,24.19542405,678,4,5.9,0,6,0.062,62,11.8,118,5.254237288,5.254237288,1/1,1,554.0017954,5.540017954,82903,-1,12/10/19,12/13/19,12/13/19,18,24,12,12,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149789,12/9/19,MEI - MARTRONIC ENGINEERING INC.,0.55,7.55,4.1525,3,1,8,0,6,0.062,62,115,115,0.539130435,0.539130435,1/0,1,0.000728283,7.28E-06,82902,-1,12/10/19,12/16/19,12/16/19,18,24,17,19,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149537,11/22/19,KENALL MANUFACTURING,1.5,20.3,30.45,60,2,8,0,6,0.062,62,10,10,6.2,6.2,2/2,2,0.317813444,0.003178134,82900,-1,12/9/19,12/16/19,12/16/19,18,24,5,6,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149382,11/15/19,TOSHIBA INTERNATIONAL CORP,5.1349,4.5456,23.34120144,326,4,7.9,0,6,0.062,62,15.75,1575,3.936507937,3.936507937,2/2,2,99.15667067,0.991566707,82899,-1,12/9/19,12/16/19,12/16/19,16,18,0,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149773,12/9/19,BLACK & DECKER,0.5118,0.6693,0.34254774,4,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,0.125561338,0.001255613,82897,-1,12/9/19,12/13/19,12/13/19,18,24,5,6,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149772,12/9/19,BLACK & DECKER,0.3976,1.5157,0.60264232,5,2,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,0.111516067,0.001115161,82895,-1,12/9/19,12/13/19,12/13/19,18,24,4,6,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149717,12/5/19,"HELM INSTRUMENT CO., INC",0.6875,1.0605,0.72909375,30,2,8,0,6,0.062,62,32,32,1.9375,1.9375,1/1,1,3.318304181,0.033183042,82893,-1,12/6/19,12/11/19,12/12/19,18,24,1,2,2,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149719,12/5/19,"HELM INSTRUMENT CO., INC",4.4092,4.5276,19.96309392,435,6,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,687.9731486,6.879731486,82892,-1,12/6/19,12/12/19,12/12/19,16,18,1,2,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149702,12/4/19,EMBER INDUSTRIES,2,3.5,7,308,6,5,0,6,0.062,62,10,10,6.2,6.2,1/1,1,1573.780645,15.73780645,82890,-1,12/6/19,12/13/19,12/13/19,16,18,0,1,6,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149733,12/5/19,Idex Health & Science  FLI,3.36,8.08,27.1488,612,4,7,0,6,0.062,62,8,8,7.75,7.75,1/1,1,339.0714318,3.390714318,82889,-1,12/6/19,12/11/19,12/11/19,18,24,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
148875,10/21/19,"COMPUTROL, INC",1.8,5.68,10.224,495,10,8,0,6,0.093,93,14,14,6.642857143,6.642857143,1/1,1,5368.653453,53.68653453,82888,-1,12/6/19,1/9/20,1/13/20,18,24,5,6,10,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149718,12/5/19,"HELM INSTRUMENT CO., INC",4.4092,4.5276,19.96309392,394,4,8,0,6,0.062,62,20,20,3.1,3.1,1/1,1,167.2290185,1.672290185,82887,-1,12/6/19,12/11/19,12/12/19,18,24,1,2,4,FR-TG175            ,00:00.0,NULL,NULL,NULL,NULL
149548,11/22/19,BLACK & DECKER,4.7752,6.0248,28.76962496,153,2,8,0,6,0.062,62,24,24,2.583333333,2.583333333,2/2,2,2.187286746,0.021872867,82886,-1,12/6/19,12/16/19,12/16/19,18,24,6,7,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
149548,11/22/19,BLACK & DECKER,4.7752,6.0248,28.76962496,153,2,8,0,6,0.062,62,24,24,2.583333333,2.583333333,2/2,2,2.187286746,0.021872867,82886,-2,12/6/19,12/16/19,12/16/19,18,24,3,5,2,FR4                 ,00:00.0,NULL,NULL,NULL,NULL
