RFQ,Ord DT,Customer,X,Y,Sq.in,#Hls,LY,Line,Aring,Min Aring,Thick,Thick Mil,Mhole,Smallest_Hole_Calc,AR,AR Cal,Cu wt,CuW,CI,CI Final,EI#,Rel,Rel Dt,Shp Dt,Due Dt,Pnl X,Pnl Y,Qty Pnl,# Pnls,LY,Matl,UP,Pcs_Array,RMA_NO,CAType,RMA_Amt
149110-A,12/10/19,AVNET,7.27,3.37,24.4999,344,4,6,0,6,0.062,62,14,14,4.428571429,4.428571429,1/1,1,138.4963593,1.384963593,AA82966,-1,12/24/19,NULL,2/25/20,0,0,0,0,4,FR-4                ,12,NULL,NULL,NULL,NULL
149110-A,12/10/19,AVNET,7.27,3.37,24.4999,344,4,6,0,6,0.062,62,14,14,4.428571429,4.428571429,1/1,1,138.4963593,1.384963593,AA82966,-2,1/23/20,NULL,3/3/20,0,0,0,0,4,FR-4                ,12,NULL,NULL,NULL,NULL
149807,12/10/19,FUSION-EMS,1.966,1.395,2.74257,72,4,8,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,40.64941678,0.406494168,AA82960,-1,12/23/19,1/6/20,1/6/20,0,0,1,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149724,12/5/19,PINNACLE TECHNOLOGY GROUP,0.625,8.75,5.46875,3,1,8,0,6,0.062,62,164,164,0.38,0.38,2/0,2,0.000550156,5.50E-06,AA82956,-1,12/20/19,2/4/20,2/4/20,0,0,6,0,1,MCPCB               ,00:00.0,NULL,NULL,NULL,NULL
149947,12/18/19,ELECTRONIC SOLUTIONS INC,2.75,4.075,11.20625,203,2,8,0,6,0.062,62,15.74,1574,3.939008895,3.939008895,2/2,2,9.885276673,0.098852767,AA82954,-1,12/20/19,1/10/20,1/13/20,0,0,16,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149925,12/17/19,DIVELBISS CORPORATION,2.9,4,11.6,253,4,8,0,6,0.062,62,12,12,5.166666667,5.166666667,2/2,2,118.6670374,1.186670374,AA82943,-1,12/19/19,1/10/20,1/13/20,0,0,13,0,4,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149767,12/6/19,FUSION-EMS,2.7272,6.3469,17.30926568,744,8,5,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,8802.8691,88.028691,AA82940,-1,12/18/19,1/13/20,1/13/20,0,0,7,0,8,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
150021,12/20/19,TECNOVA ELECTRONICS INC,4,6.54,26.16,957,4,8,0,6,0.062,62,8,8,7.75,7.75,1/1,1,752.8928677,7.528928677,AA82939,-1,12/18/19,1/10/20,1/10/20,0,0,2,0,4,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149865,12/12/19,PINNACLE TECHNOLOGY GROUP,6.303,3.33,20.98899,768,2,8,0,6,0.062,62,15,15,4.133333333,4.133333333,2/2,2,75.54190969,0.755419097,AA82936,-1,12/17/19,1/21/20,1/21/20,0,0,16,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149865,12/12/19,PINNACLE TECHNOLOGY GROUP,6.303,3.33,20.98899,768,2,8,0,6,0.062,62,15,15,4.133333333,4.133333333,2/2,2,75.54190969,0.755419097,AA82936,-2,12/17/19,NULL,4/30/20,0,0,0,0,2,FR-4                ,12,NULL,NULL,NULL,NULL
149581,11/25/19,FUSION-EMS,5.0953,14.554,74.1569962,3406,4,8,0,6,0.062,62,13,13,4.769230769,4.769230769,1/1,1,3364.218575,33.64218575,AA82934,-1,12/17/19,1/13/20,1/17/20,0,0,4,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149885,12/12/19,AVATAR,1.436,4.19,6.01684,4,2,7,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,0.008169595,8.17E-05,AA82928,-1,12/13/19,1/2/20,1/3/20,0,0,11,0,2,370HR               ,00:00.0,NULL,NULL,NULL,NULL
148733,10/11/19,"ACCU-SEMBLY, INC",3.85,4.3,16.555,394,4,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,201.6556087,2.016556087,AA82917,-1,12/12/19,1/3/20,1/6/20,0,0,4,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148688,10/9/19,"ACCU-SEMBLY, INC",7.5,5.656,42.42,603,4,10,9.5,9.5,0.062,62,21,21,3,3,1/1,1,91.65998447,0.916599845,AA82915,-1,12/12/19,1/3/20,1/6/20,0,0,4,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149306,11/12/19,"ACCU-SEMBLY, INC",7.5,5.656,42.42,478,4,8,0,6,0.062,62,21,21,2.952380952,2.952380952,2/2,2,115.8329658,1.158329658,AA82901,-1,12/10/19,1/2/20,1/2/20,0,0,6,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149597,11/26/19,PINNACLE TECHNOLOGY GROUP,2.26,2.843,6.42518,1,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,0.000418381,4.18E-06,AA82898,-1,12/9/19,1/2/20,1/2/20,0,0,15,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149734,12/5/19,NEWCO ENTERPRISES,3.1535,2.6181,8.25617835,91,2,8,0,6,0.062,62,15,15,4.133333333,4.133333333,1/1,1,2.696253853,0.026962539,AA82896,-1,12/9/19,1/2/20,1/2/20,0,0,44,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
143850-A,2/18/19,HORTICULTURE LIGHTING GROUP,7.433,11.25,83.62125,2,1,8,0,6,0.062,62,10,10,6.2,6.2,2/0,2,1.61E-05,1.61E-07,AA82894,-1,12/6/19,1/24/20,1/24/20,0,0,2500,0,1,MCPCB               ,00:00.0,NULL,NULL,NULL,NULL
149634,11/27/19,"SEESCAN, INC",1.7541,2.8895,5.06847195,214,6,6,0,6,0.062,62,4,4,15.5,15.5,1/1,1,874.3998214,8.743998214,AA82891,-1,12/6/19,1/8/20,1/8/20,0,0,3,0,6,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
